index,FIPS code,Year,Hail Reports,Wind Reports
358,17157,1963,0,0
359,17157,1964,0,0
360,17157,1965,0,0
361,17157,1966,0,0
362,17157,1967,0,0
363,17157,1968,0,0
364,17157,1969,1,0
365,17157,1970,0,0
366,17157,1971,0,0
367,17157,1972,1,0
368,17157,1973,1,0
369,17157,1974,1,1
370,17157,1975,0,1
371,17157,1976,2,1
372,17157,1977,0,1
373,17157,1978,1,0
374,17157,1979,0,0
375,17157,1980,1,2
376,17157,1981,0,1
377,17157,1982,0,6
378,17157,1983,0,2
379,17157,1984,0,5
380,17157,1985,0,2
381,17157,1986,1,2
382,17157,1987,0,1
383,17157,1988,1,1
384,17157,1989,1,0
385,17157,1990,1,0
386,17157,1991,1,10
387,17157,1992,2,8
388,17157,1993,0,1
389,17157,1994,1,5
390,17157,1995,2,4
391,17157,1996,5,7
392,17157,1997,6,2
393,17157,1998,10,10
394,17157,1999,1,4
395,17157,2000,1,4
396,17157,2001,2,5
397,17157,2002,11,6
398,17157,2003,11,7
399,17157,2004,7,6
400,17157,2005,4,7
401,17157,2006,32,5
402,17157,2007,7,0
403,17157,2008,15,6
404,17157,2009,4,4
405,17157,2010,4,7
406,17157,2011,5,5
407,17157,2012,2,4
408,17157,2013,3,1
409,17157,2014,1,0
410,17157,2015,0,2
411,17157,2016,5,6
412,17157,2017,2,4
413,17157,2018,1,1
414,17157,2019,1,1
415,17157,2020,1,2
416,17157,2021,1,3
417,17157,2022,3,5
418,17157,2023,0,5
419,17157,2024,4,4
420,17163,1955,1,0
421,17163,1956,1,0
422,17163,1957,2,2
423,17163,1958,1,1
424,17163,1959,0,1
425,17163,1960,0,0
426,17163,1961,1,0
427,17163,1962,1,0
428,17163,1963,0,1
429,17163,1964,1,0
430,17163,1965,0,0
431,17163,1966,0,0
432,17163,1967,0,0
433,17163,1968,1,2
434,17163,1969,0,2
435,17163,1970,2,2
436,17163,1971,1,3
437,17163,1972,4,1
438,17163,1973,1,4
439,17163,1974,7,6
440,17163,1975,4,0
441,17163,1976,2,2
442,17163,1977,1,8
443,17163,1978,5,3
444,17163,1979,0,2
445,17163,1980,2,7
446,17163,1981,0,3
447,17163,1982,5,10
448,17163,1983,2,4
449,17163,1984,3,6
450,17163,1985,1,0
451,17163,1986,2,2
452,17163,1987,5,4
453,17163,1988,2,3
454,17163,1989,3,2
455,17163,1990,1,2
456,17163,1991,0,4
457,17163,1992,3,9
458,17163,1993,3,3
459,17163,1994,8,6
460,17163,1995,4,11
461,17163,1996,12,9
462,17163,1997,2,8
463,17163,1998,8,14
464,17163,1999,3,9
465,17163,2000,12,22
466,17163,2001,0,15
467,17163,2002,4,10
468,17163,2003,10,12
469,17163,2004,11,25
470,17163,2005,6,21
471,17163,2006,19,18
472,17163,2007,16,5
473,17163,2008,25,12
474,17163,2009,9,4
475,17163,2010,14,10
476,17163,2011,6,20
477,17163,2012,17,9
478,17163,2013,2,8
479,17163,2014,4,2
480,17163,2015,3,6
481,17163,2016,4,8
482,17163,2017,9,10
483,17163,2018,4,7
484,17163,2019,6,8
485,17163,2020,0,6
486,17163,2021,0,8
487,17163,2022,2,8
488,17163,2023,10,20
489,17163,2024,5,4
490,17189,1955,0,0
491,17189,1956,1,0
492,17189,1957,1,0
493,17189,1958,0,0
494,17189,1959,0,0
495,17189,1960,1,1
496,17189,1961,2,0
497,17189,1962,1,0
498,17189,1963,0,0
499,17189,1964,0,0
500,17189,1965,0,1
501,17189,1966,0,0
502,17189,1967,0,0
503,17189,1968,0,0
504,17189,1969,0,0
505,17189,1970,0,0
506,17189,1971,0,0
507,17189,1972,0,0
508,17189,1973,0,1
