,Geographic Area,"April 1, 2020 Estimates Base",2020,2021,2022,2023,Unnamed: 0,FIPS code,SED location,Census location
80,"Johnson County, Texas","180,008","180,964","187,511","195,496","202,906",80,48251,"JOHNSON, TEXAS","Johnson County, Texas"
81,"Kaufman County, Texas","145,307","147,140","158,313","172,611","185,690",81,48257,"KAUFMAN, TEXAS","Kaufman County, Texas"
82,"Montague County, Texas","19,967","19,999","20,437","21,079","21,598",82,48337,"MONTAGUE, TEXAS","Montague County, Texas"
83,"Navarro County, Texas","52,623","52,838","53,637","54,687","55,635",83,48349,"NAVARRO, TEXAS","Navarro County, Texas"
84,"Palo Pinto County, Texas","28,413","28,452","28,742","29,322","29,747",84,48363,"PALO PINTO, TEXAS","Palo Pinto County, Texas"
85,"Parker County, Texas","148,220","149,552","157,088","165,938","173,494",85,48367,"PARKER, TEXAS","Parker County, Texas"
86,"Rains County, Texas","12,151","12,175","12,463","12,836","12,986",86,48379,"RAINS, TEXAS","Rains County, Texas"
87,"Rockwall County, Texas","107,844","109,158","116,612","123,342","131,307",87,48397,"ROCKWALL, TEXAS","Rockwall County, Texas"
88,"Tarrant County, Texas","2,110,623","2,115,840","2,129,695","2,155,646","2,182,947",88,48439,"TARRANT, TEXAS","Tarrant County, Texas"
89,"Van Zandt County, Texas","59,543","59,758","61,253","62,888","64,000",89,48467,"VAN ZANDT, TEXAS","Van Zandt County, Texas"
90,"Wise County, Texas","68,631","68,947","71,871","74,897","78,097",90,48497,"WISE, TEXAS","Wise County, Texas"
